Incident energy ; 
Incident energy ; 
Incident energy ; Computed function
1453943.0 ; 0.0
1486930.0 ; 1.00919E-20
1486933.0 ; 1.00928E-20
1492730.0 ; 1.18663E-20
1492734.0 ; 1.18675E-20
1497280.0 ; 1.32583E-20
1500000.0 ; 1.40905E-20
1506440.0 ; 1.60607E-20
1506444.0 ; 1.60619E-20
1519830.0 ; 2.01571E-20
1519834.0 ; 2.01584E-20
1536710.0 ; 2.53213E-20
1536950.0 ; 2.53948E-20
1536952.0 ; 2.53954E-20
1538660.0 ; 2.59179E-20
1555290.0 ; 3.10056E-20
1555297.0 ; 3.10077E-20
1566760.0 ; 3.45147E-20
1592240.0 ; 4.23099E-20
1593350.0 ; 4.26495E-20
1598280.0 ; 4.41578E-20
1600000.0 ; 4.4684E-20
1601080.0 ; 4.50144E-20
1601084.0 ; 4.50156E-20
1601780.0 ; 4.52285E-20
1603650.0 ; 4.58006E-20
1615780.0 ; 4.95116E-20
1627940.0 ; 5.32318E-20
1630620.0 ; 5.40517E-20
1630627.0 ; 5.40538E-20
1639590.0 ; 5.67959E-20
1647640.0 ; 5.92587E-20
1650490.0 ; 6.01306E-20
1679310.0 ; 6.89477E-20
1700000.0 ; 7.52775E-20
1700330.0 ; 7.53784E-20
1705070.0 ; 7.68286E-20
1709420.0 ; 7.81594E-20
1726270.0 ; 8.33144E-20
1733890.0 ; 8.56456E-20
1746360.0 ; 8.94606E-20
1746366.0 ; 8.94624E-20
1752110.0 ; 9.12197E-20
1764520.0 ; 9.50164E-20
1769630.0 ; 9.65797E-20
1787810.0 ; 1.02142E-19
1792770.0 ; 1.03659E-19
1792776.0 ; 1.03661E-19
1793220.0 ; 1.03797E-19
1798070.0 ; 1.05281E-19
1800000.0 ; 1.05871E-19
1802800.0 ; 1.06728E-19
1806700.0 ; 1.07921E-19
1812000.0 ; 1.09542E-19
1812005.0 ; 1.09544E-19
1826080.0 ; 1.1385E-19
1827150.0 ; 1.14177E-19
1832900.0 ; 1.15936E-19
1846940.0 ; 1.20232E-19
1863080.0 ; 1.25169E-19
1869150.0 ; 1.27026E-19
1875730.0 ; 1.29039E-19
1879720.0 ; 1.3026E-19
1879726.0 ; 1.30262E-19
1879870.0 ; 1.30306E-19
1892510.0 ; 1.34173E-19
1898140.0 ; 1.35895E-19
1898141.0 ; 1.35896E-19
1900000.0 ; 1.36465E-19
1903540.0 ; 1.37548E-19
1920940.0 ; 1.42871E-19
1923580.0 ; 1.43678E-19
1926390.0 ; 1.44538E-19
2000000.0 ; 1.67058E-19
2100000.0 ; 1.97652E-19
2200000.0 ; 2.28245E-19
2300000.0 ; 2.58839E-19
2400000.0 ; 2.89432E-19
2500000.0 ; 3.20026E-19
2600000.0 ; 3.50619E-19
2700000.0 ; 3.81213E-19
2717400.0 ; 3.86536E-19
2800000.0 ; 4.11806E-19
2900000.0 ; 8.996E-18
3000000.0 ; 1.75802E-17
3100000.0 ; 1.95368E-16
3200000.0 ; 3.73155E-16
3297400.0 ; 6.95308E-15
3300000.0 ; 7.12873E-15
3400000.0 ; 1.38843E-14
3500000.0 ; 8.83157E-14
3600000.0 ; 1.62747E-13
3668280.0 ; 5.26851E-13
3700000.0 ; 6.95999E-13
3800000.0 ; 1.22925E-12
3900000.0 ; 3.99383E-12
4000000.0 ; 6.7584E-12
4200000.0 ; 2.98303E-11
4293370.0 ; 6.74886E-11
4316090.0 ; 7.66521E-11
4400000.0 ; 1.10495E-10
4600000.0 ; 3.53416E-10
4800000.0 ; 9.9771E-10
4996560.0 ; 2.504539E-9
5000000.0 ; 2.53091E-9
5073320.0 ; 3.748297E-9
