Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
374.86 ; 4.045542
374.88 ; 4.133352
374.91 ; 4.224076
374.93 ; 4.317721
374.95 ; 4.414695
374.98 ; 4.514828
375.0 ; 4.618553
375.02 ; 4.725609
375.04 ; 4.836746
375.07 ; 4.951796
375.09 ; 5.070845
375.11 ; 5.194314
375.14 ; 5.322356
375.16 ; 5.455242
375.2 ; 5.736332
375.25 ; 6.039659
375.3 ; 6.367739
375.34 ; 6.723301
375.39 ; 7.109367
375.43 ; 7.529667
375.48 ; 7.988283
375.53 ; 8.490152
375.57 ; 9.040825
375.62 ; 9.646491
375.67 ; 10.31546
375.71 ; 11.05529
375.76 ; 11.87924
375.8 ; 12.79563
375.85 ; 13.82453
375.9 ; 14.98165
375.94 ; 16.28883
375.99 ; 17.77421
376.03 ; 19.47128
376.08 ; 21.42075
376.13 ; 23.67926
376.17 ; 26.30687
376.22 ; 29.39522
376.26 ; 33.05419
376.29 ; 35.14276
376.31 ; 37.43294
376.33 ; 39.95058
376.36 ; 42.72654
376.38 ; 45.79811
376.4 ; 49.20638
376.42 ; 53.0028
376.45 ; 57.24745
376.47 ; 62.00945
376.49 ; 67.37546
376.52 ; 73.45136
376.54 ; 80.35936
376.56 ; 88.25889
376.59 ; 97.33141
376.61 ; 107.8201
376.63 ; 120.0164
376.66 ; 134.2795
376.68 ; 151.0832
376.7 ; 171.0107
376.72 ; 194.788
376.75 ; 223.3715
376.77 ; 257.9206
376.78 ; 277.8817
376.79 ; 299.9088
376.8 ; 324.2105
376.82 ; 351.0357
376.83 ; 380.6108
376.84 ; 413.1855
376.85 ; 448.9423
376.86 ; 488.0734
376.89 ; 576.4904
376.91 ; 676.8041
376.93 ; 782.7333
376.95 ; 881.256
376.97 ; 921.8234
376.98 ; 953.2349
376.99 ; 973.06
377.0 ; 979.8105
377.11 ; 586.3456
377.23 ; 265.9767
377.28 ; 188.6564
377.34 ; 139.1944
377.39 ; 106.2704
377.45 ; 83.48519
377.56 ; 55.11723
377.62 ; 45.99727
377.68 ; 38.94091
377.79 ; 28.91198
377.9 ; 22.28797
378.13 ; 14.38019
378.24 ; 11.91417
378.35 ; 10.02975
378.58 ; 7.388369
378.8 ; 5.66635
379.25 ; 3.633907
379.48 ; 3.00533
379.7 ; 2.526553
380.15 ; 1.857983
380.6 ; 1.42361
381.5 ; 0.9125777
381.95 ; 0.7548322
382.41 ; 0.6348912
383.31 ; 0.4675125
384.21 ; 0.3589176
386.01 ; 0.2313278
386.91 ; 0.1919798
387.81 ; 0.1621053
389.61 ; 0.1204418
391.41 ; 0.09345713
395.02 ; 0.06184368
396.82 ; 0.05214058
398.62 ; 0.04479343
402.22 ; 0.03461705
405.83 ; 0.02810891
413.03 ; 0.0207134
420.24 ; 0.01704363
427.44 ; 0.01523824
434.65 ; 0.01457517
441.86 ; 0.01481007
449.06 ; 0.01599304
456.27 ; 0.01852738
463.48 ; 0.02356766
467.08 ; 0.0279181
470.68 ; 0.03462377
