Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 173.155
1.2856E-5 ; 152.718
1.4283E-5 ; 144.882
1.5711E-5 ; 138.145
1.8567E-5 ; 127.082
2.1423E-5 ; 118.309
2.7134E-5 ; 105.118
3.2845E-5 ; 95.5455
3.8557E-5 ; 88.1845
4.4268E-5 ; 82.3
4.9979E-5 ; 77.4545
5.569E-5 ; 73.3755
6.7113E-5 ; 66.84
7.8536E-5 ; 61.7891
8.9958E-5 ; 57.7327
1.0138E-4 ; 54.3827
1.2423E-4 ; 49.1291
1.4707E-4 ; 45.1518
1.6992E-4 ; 42.0073
1.9276E-4 ; 39.4391
2.3845E-4 ; 35.46
2.8414E-4 ; 32.4845
3.2983E-4 ; 30.1491
3.7552E-4 ; 28.2564
4.6691E-4 ; 25.3409
5.5829E-4 ; 23.1745
6.4967E-4 ; 21.4827
7.4105E-4 ; 20.1145
9.2381E-4 ; 18.0155
0.0011066 ; 16.46
0.0012893 ; 15.2491
0.0014721 ; 14.2709
0.0018376 ; 12.7727
0.0022032 ; 11.6655
0.0025687 ; 10.8036
0.0029342 ; 10.1082
0.0036652 ; 9.04382
0.0043963 ; 8.25755
0.0051273 ; 7.64618
0.0058584 ; 7.15309
0.0073205 ; 6.39873
0.0087826 ; 5.84164
0.010245 ; 5.40855
0.011707 ; 5.05936
0.014631 ; 4.52536
0.017555 ; 4.131
0.020479 ; 3.82445
0.023404 ; 3.57727
0.0253 ; 3.44045
0.029252 ; 3.19927
0.0351 ; 2.92018
0.040949 ; 2.70327
0.046797 ; 2.52836
0.058494 ; 2.26082
0.070191 ; 2.06327
0.081887 ; 1.90973
0.093584 ; 1.78591
0.11698 ; 1.59655
0.14037 ; 1.45664
0.16376 ; 1.34782
0.18716 ; 1.26018
0.23395 ; 1.12591
0.28073 ; 1.02673
0.32752 ; 0.949636
0.37431 ; 0.887482
0.46788 ; 0.792309
0.56145 ; 0.721991
0.65503 ; 0.667309
0.7486 ; 0.623209
0.93575 ; 0.555764
1.1229 ; 0.506
1.31 ; 0.467364
1.4972 ; 0.436273
1.8715 ; 0.388909
2.2458 ; 0.354173
2.6201 ; 0.327391
2.9944 ; 0.306009
3.743 ; 0.273836
4.4916 ; 0.250682
5.2402 ; 0.233191
5.9888 ; 0.219527
7.486 ; 0.199655
8.9831 ; 0.1861
10.48 ; 0.176482
11.978 ; 0.169527
14.972 ; 0.160873
17.966 ; 0.156791
20.961 ; 0.155791
23.955 ; 0.157145
26.949 ; 0.160491
29.944 ; 0.165673
32.938 ; 0.1727
35.932 ; 0.181673
38.927 ; 0.192818
41.921 ; 0.206445
44.916 ; 0.223036
