Incident energy ; 
Incident energy ; 
Incident energy ; Computed function
1.0E-5 ; 2.498831E-4
1.0625E-5 ; 2.424222E-4
1.125E-5 ; 2.35592E-4
1.1875E-5 ; 2.293083E-4
1.25E-5 ; 2.235021E-4
1.374089E-5 ; 2.131714E-4
1.498177E-5 ; 2.041525E-4
1.5E-5 ; 2.040284E-4
1.503907E-5 ; 2.037632E-4
1.507813E-5 ; 2.034991E-4
1.515625E-5 ; 2.029739E-4
1.53125E-5 ; 2.019357E-4
1.5625E-5 ; 1.999061E-4
1.625E-5 ; 1.96024E-4
1.75E-5 ; 1.888934E-4
1.875E-5 ; 1.824883E-4
2.0E-5 ; 1.766935E-4
2.186828E-5 ; 1.689771E-4
2.373655E-5 ; 1.621908E-4
2.560483E-5 ; 1.561614E-4
2.74731E-5 ; 1.507581E-4
2.75E-5 ; 1.506843E-4
2.75586E-5 ; 1.50524E-4
2.761719E-5 ; 1.503643E-4
2.784791E-5 ; 1.497401E-4
2.807862E-5 ; 1.491236E-4
2.854005E-5 ; 1.479132E-4
2.94629E-5 ; 1.455782E-4
3.13086E-5 ; 1.412219E-4
3.31543E-5 ; 1.372346E-4
3.5E-5 ; 1.335671E-4
3.875E-5 ; 1.269396E-4
4.25E-5 ; 1.212099E-4
4.625E-5 ; 1.16192E-4
5.0E-5 ; 1.117498E-4
5.3125E-5 ; 1.084131E-4
5.625E-5 ; 1.053585E-4
5.9375E-5 ; 1.025484E-4
6.25E-5 ; 9.995172E-5
6.875E-5 ; 9.530008E-5
7.5E-5 ; 9.124275E-5
8.125E-5 ; 8.766308E-5
8.75E-5 ; 8.447415E-5
9.375E-5 ; 8.160968E-5
1.0E-4 ; 7.901813E-5
1.0625E-4 ; 7.665877E-5
1.125E-4 ; 7.449885E-5
1.1875E-4 ; 7.251178E-5
1.25E-4 ; 7.067567E-5
1.375E-4 ; 6.738648E-5
1.5E-4 ; 6.451753E-5
1.625E-4 ; 6.198634E-5
1.75E-4 ; 5.973144E-5
1.875E-4 ; 5.770598E-5
2.0E-4 ; 5.587351E-5
2.1875E-4 ; 5.34252E-5
2.375E-4 ; 5.127289E-5
2.5625E-4 ; 4.936136E-5
2.75E-4 ; 4.764883E-5
2.9375E-4 ; 4.6103E-5
3.125E-4 ; 4.469848E-5
3.3125E-4 ; 4.341497E-5
3.5E-4 ; 4.223604E-5
3.875E-4 ; 4.014032E-5
4.25E-4 ; 3.83285E-5
4.625E-4 ; 3.674178E-5
5.0E-4 ; 3.53371E-5
5.3125E-4 ; 3.428201E-5
5.625E-4 ; 3.331611E-5
5.9375E-4 ; 3.242752E-5
6.25E-4 ; 3.160643E-5
6.875E-4 ; 3.013554E-5
7.5E-4 ; 2.885258E-5
8.125E-4 ; 2.772066E-5
8.75E-4 ; 2.671229E-5
9.375E-4 ; 2.580653E-5
0.001 ; 2.498706E-5
0.0010625 ; 2.424101E-5
0.001125 ; 2.355803E-5
0.0011875 ; 2.29297E-5
0.00125 ; 2.23491E-5
0.001375 ; 2.130904E-5
0.0015 ; 2.040185E-5
0.001625 ; 1.960146E-5
0.00175 ; 1.888844E-5
0.001875 ; 1.824797E-5
0.002 ; 1.766852E-5
0.0021875 ; 1.689434E-5
0.002375 ; 1.621375E-5
0.0025625 ; 1.560929E-5
0.00275 ; 1.506776E-5
0.0029375 ; 1.457895E-5
0.003125 ; 1.413482E-5
0.0033125 ; 1.372895E-5
0.0035 ; 1.335615E-5
0.003875 ; 1.269344E-5
0.00425 ; 1.21205E-5
0.004625 ; 1.161875E-5
0.005 ; 1.117455E-5
0.0053125 ; 1.084091E-5
0.005625 ; 1.053547E-5
