Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 1386.4
1.2837E-5 ; 1223.7
1.5674E-5 ; 1107.4
1.8511E-5 ; 1019.0
2.1349E-5 ; 948.88
2.7023E-5 ; 843.4
3.2697E-5 ; 766.73
3.8372E-5 ; 707.77
4.4046E-5 ; 660.61
4.9721E-5 ; 621.77
5.5395E-5 ; 589.07
6.6744E-5 ; 536.65
7.8092E-5 ; 496.13
8.9441E-5 ; 463.59
1.0079E-4 ; 436.71
1.2349E-4 ; 394.54
1.4619E-4 ; 362.62
1.6888E-4 ; 337.37
1.9158E-4 ; 316.75
2.3697E-4 ; 284.81
2.8237E-4 ; 260.91
3.2776E-4 ; 242.17
3.7316E-4 ; 226.96
4.6395E-4 ; 203.55
5.5474E-4 ; 186.15
6.4553E-4 ; 172.56
7.3632E-4 ; 161.57
9.179E-4 ; 144.71
0.0010995 ; 132.22
0.0012811 ; 122.49
0.0014626 ; 114.64
0.0018258 ; 102.6
0.0021889 ; 93.706
0.0025521 ; 86.783
0.0029153 ; 81.198
0.0036416 ; 72.65
0.0043679 ; 66.334
0.0050942 ; 61.423
0.0058205 ; 57.463
0.0072732 ; 51.404
0.0087258 ; 46.93
0.010178 ; 43.451
0.011631 ; 40.647
0.014536 ; 36.357
0.017442 ; 33.19
0.020347 ; 30.728
0.023252 ; 28.744
0.0253 ; 27.555
0.029063 ; 25.708
0.034873 ; 23.468
0.040684 ; 21.726
0.046494 ; 20.322
0.058115 ; 18.174
0.069736 ; 16.589
0.081358 ; 15.356
0.092979 ; 14.363
0.11622 ; 12.844
0.13946 ; 11.722
0.1627 ; 10.85
0.18595 ; 10.147
0.23243 ; 9.0727
0.27892 ; 8.2796
0.3254 ; 7.6633
0.37189 ; 7.1668
0.46485 ; 6.4082
0.55782 ; 5.8492
0.65079 ; 5.4158
0.74376 ; 5.0675
0.9297 ; 4.538
1.1156 ; 4.1511
1.3016 ; 3.8544
1.4875 ; 3.6192
1.8594 ; 3.271
2.2313 ; 3.029
2.6031 ; 2.8566
2.975 ; 2.734
3.3469 ; 2.65
3.7188 ; 2.5979
4.0906 ; 2.5739
4.4625 ; 2.5762
4.8344 ; 2.6045
5.2063 ; 2.6598
5.5781 ; 2.7448
5.95 ; 2.8637
6.3219 ; 3.0226
6.6937 ; 3.2308
7.0656 ; 3.5012
7.4375 ; 3.853
7.8094 ; 4.3145
8.1812 ; 4.9291
8.3672 ; 5.3138
8.5531 ; 5.7653
8.7391 ; 6.2995
8.925 ; 6.937
9.1109 ; 7.7057
9.2969 ; 8.6438
9.4828 ; 9.8045
9.6687 ; 11.264
9.7617 ; 12.139
