Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.535344 ; 349.346
1.545477 ; 325.404
1.554589 ; 305.83
1.563701 ; 287.902
1.572813 ; 271.444
1.581925 ; 256.302
1.594074 ; 237.932
1.606224 ; 221.392
1.618373 ; 206.452
1.630523 ; 192.916
1.642672 ; 180.618
1.656523 ; 167.927
1.670373 ; 156.479
1.684223 ; 146.119
1.698074 ; 136.718
1.711924 ; 128.163
1.725775 ; 120.356
1.739625 ; 113.216
1.753475 ; 106.668
1.767326 ; 100.651
1.781176 ; 95.1097
1.796387 ; 89.5154
1.81432 ; 83.5078
1.832252 ; 78.0624
1.850185 ; 73.1126
1.868118 ; 68.601
1.88605 ; 64.4782
1.903983 ; 60.7014
1.921915 ; 57.2338
1.939848 ; 54.0433
1.95778 ; 51.1015
1.981691 ; 47.5235
2.005163 ; 44.3497
2.028636 ; 41.4709
2.052109 ; 38.852
2.075582 ; 36.4629
2.099054 ; 34.27819
2.122527 ; 32.2761
2.146 ; 30.4369
2.169473 ; 28.7435
2.20077 ; 26.6875
2.232067 ; 24.8354
2.263412 ; 23.1588
2.294758 ; 21.6387
2.326103 ; 20.2569
2.357449 ; 18.9978
2.388794 ; 17.8473
2.42014 ; 16.7931
2.451486 ; 15.8252
2.482831 ; 14.9351
2.524625 ; 13.8553
2.566419 ; 12.8829
2.607096 ; 12.027
2.647772 ; 11.2501
2.688449 ; 10.5425
2.729125 ; 9.89619
2.769801 ; 9.30471
2.810478 ; 8.76238
2.851154 ; 8.26388
2.89183 ; 7.80452
2.946066 ; 7.24645
3.000301 ; 6.74351
3.053515 ; 6.29687
3.10673 ; 5.8909
3.159945 ; 5.52114
3.213159 ; 5.18371
3.266374 ; 4.87472
3.319588 ; 4.59103
3.372803 ; 4.3302
3.426018 ; 4.09005
3.49697 ; 3.79832
3.567923 ; 3.53503
3.638633 ; 3.29768
3.709343 ; 3.0825
3.780053 ; 2.88667
3.850762 ; 2.70794
3.921472 ; 2.54453
3.992182 ; 2.39488
4.062892 ; 2.25745
4.133602 ; 2.13088
4.227881 ; 1.97726
4.322161 ; 1.83906
4.418385 ; 1.71177
4.514609 ; 1.59657
4.610832 ; 1.49212
