Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
196.71 ; 4.64449E-14
214.49 ; 5.53485E-14
232.27 ; 7.32407E-14
241.17 ; 8.88947E-14
250.06 ; 1.13237E-13
254.5 ; 1.30731E-13
258.95 ; 1.53742E-13
263.39 ; 1.84838E-13
267.84 ; 2.28263E-13
272.28 ; 2.91483E-13
276.73 ; 3.88675E-13
278.95 ; 4.58185E-13
281.17 ; 5.49427E-13
283.4 ; 6.72595E-13
285.62 ; 8.44441E-13
287.84 ; 1.09475E-12
290.06 ; 1.47967E-12
291.17 ; 1.75513E-12
292.29 ; 2.11696E-12
293.4 ; 2.60555E-12
294.51 ; 3.28792E-12
295.62 ; 4.28228E-12
296.73 ; 5.81256E-12
297.29 ; 6.90795E-12
297.84 ; 8.3473E-12
298.4 ; 1.02915E-11
298.95 ; 1.30075E-11
299.51 ; 1.69647E-11
300.07 ; 2.30552E-11
300.34 ; 2.74138E-11
300.62 ; 3.3139E-11
300.9 ; 4.08676E-11
301.04 ; 4.57889E-11
301.18 ; 5.16556E-11
301.25 ; 5.50218E-11
301.28 ; 5.6829E-11
301.32 ; 5.87276E-11
301.35 ; 6.07226E-11
301.37 ; 6.17581E-11
301.39 ; 6.28205E-11
301.4 ; 6.39106E-11
301.42 ; 6.50278E-11
301.44 ; 6.6179E-11
301.45 ; 6.73559E-11
301.47 ; 6.8565E-11
301.49 ; 6.98127E-11
301.51 ; 7.10926E-11
301.52 ; 7.24046E-11
301.56 ; 7.51379E-11
301.59 ; 7.80385E-11
301.63 ; 8.11062E-11
301.66 ; 8.43541E-11
301.7 ; 8.78077E-11
301.73 ; 9.14736E-11
301.8 ; 9.95322E-11
301.87 ; 1.08697E-10
301.94 ; 1.19193E-10
302.01 ; 1.31278E-10
302.08 ; 1.45291E-10
302.15 ; 1.61666E-10
302.22 ; 1.80966E-10
302.29 ; 2.03933E-10
302.36 ; 2.31524E-10
302.43 ; 2.65095E-10
302.5 ; 3.06469E-10
302.57 ; 3.58254E-10
302.64 ; 4.24208E-10
302.7 ; 5.09945E-10
302.77 ; 6.24089E-10
302.84 ; 7.80385E-10
302.91 ; 1.001882E-9
302.98 ; 1.328661E-9
303.02 ; 1.55273E-9
303.05 ; 1.83539E-9
303.09 ; 2.19722E-9
303.12 ; 2.667933E-9
303.16 ; 3.289784E-9
303.19 ; 4.122649E-9
303.23 ; 5.246727E-9
303.26 ; 6.753601E-9
303.33 ; 1.094301E-8
303.4 ; 1.379469E-8
303.46 ; 1.12903E-8
303.5 ; 9.203317E-9
303.53 ; 7.311203E-9
303.59 ; 4.605453E-9
303.62 ; 3.712455E-9
303.66 ; 3.033622E-9
303.72 ; 2.108338E-9
303.78 ; 1.535751E-9
303.85 ; 1.162602E-9
303.91 ; 9.07983E-10
304.04 ; 5.95103E-10
304.1 ; 4.95481E-10
304.17 ; 4.18709E-10
304.3 ; 3.10064E-10
304.42 ; 2.38605E-10
304.68 ; 1.53607E-10
304.81 ; 1.27168E-10
304.94 ; 1.06993E-10
305.19 ; 7.87395E-11
305.45 ; 6.03451E-11
305.96 ; 3.86539E-11
306.22 ; 3.19499E-11
306.47 ; 2.68478E-11
306.99 ; 1.97219E-11
307.5 ; 1.50945E-11
308.52 ; 9.65287E-12
309.03 ; 7.97364E-12
309.55 ; 6.69765E-12
310.57 ; 4.91628E-12
311.59 ; 3.76088E-12
313.64 ; 2.4036E-12
