Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 37.07299
1.2253E-5 ; 33.49068
1.4506E-5 ; 30.78031
1.6759E-5 ; 28.63672
1.9012E-5 ; 26.88655
2.3518E-5 ; 24.1742
2.8024E-5 ; 22.14578
3.253E-5 ; 20.55449
3.7037E-5 ; 19.26308
4.1543E-5 ; 18.18879
4.6049E-5 ; 17.27625
5.5061E-5 ; 15.79915
6.4073E-5 ; 14.64587
7.3085E-5 ; 13.7127
8.2098E-5 ; 12.93829
1.0012E-4 ; 11.7165
1.1815E-4 ; 10.78536
1.3617E-4 ; 10.04637
1.542E-4 ; 9.440976
1.9024E-4 ; 8.499562
2.2629E-4 ; 7.793175
2.6234E-4 ; 7.238025
2.9839E-4 ; 6.786677
3.7049E-4 ; 6.09066
4.4259E-4 ; 5.572472
5.1468E-4 ; 5.167528
5.8678E-4 ; 4.839606
7.3098E-4 ; 4.336048
8.7517E-4 ; 3.962758
0.0010194 ; 3.671794
0.0011636 ; 3.436881
0.001452 ; 3.076574
0.0017404 ; 2.810106
0.0020287 ; 2.602807
0.0023171 ; 2.435371
0.0028939 ; 2.179283
0.0034707 ; 1.989946
0.0040475 ; 1.842644
0.0046243 ; 1.723895
0.0057778 ; 1.542237
0.0069314 ; 1.40812
0.0080849 ; 1.303792
0.0092385 ; 1.21961
0.011546 ; 1.090992
0.013853 ; 0.9959901
0.01616 ; 0.9221427
0.018467 ; 0.8626099
0.023081 ; 0.771563
0.0253 ; 0.736954
0.027695 ; 0.7043491
0.03231 ; 0.6521035
0.036924 ; 0.6099905
0.046153 ; 0.5455788
0.055381 ; 0.4980364
0.06461 ; 0.4610714
0.073838 ; 0.431279
0.092295 ; 0.3857194
0.11075 ; 0.3520863
0.12921 ; 0.3259381
0.14767 ; 0.3048651
0.18458 ; 0.2726343
0.22149 ; 0.2488417
0.25841 ; 0.2303327
0.29532 ; 0.2154271
0.36915 ; 0.1926209
0.44298 ; 0.1757734
0.51681 ; 0.1626838
0.59063 ; 0.1521164
0.73829 ; 0.1359641
0.88595 ; 0.1240364
1.0336 ; 0.1147674
1.1813 ; 0.1072826
1.4766 ; 0.09583083
1.7719 ; 0.0873707
2.0672 ; 0.08079048
2.3625 ; 0.07548195
2.9531 ; 0.06736124
3.5438 ; 0.06136127
4.1344 ; 0.05670147
4.725 ; 0.05294993
5.9063 ; 0.04723759
7.0875 ; 0.04307396
8.2688 ; 0.03991619
9.45 ; 0.03749026
10.631 ; 0.03566431
11.813 ; 0.03442077
12.994 ; 0.03387784
14.175 ; 0.03446744
14.766 ; 0.03552937
15.356 ; 0.03754422
15.652 ; 0.03912623
